Title;Genre ID;Publisher;Platform release date;Original release date
SteamWorld Heist;22;Image & Form;2020.03.10;2015.12.10
SteamWorld Quest;17;Thunderful Publishing;2020.03.01;2019.04.25
Strange Brigade;18;Rebellion Developments;2020.08.01;2018.08.28
Street Power Football;21;Maximum Games;2021.05.11;2020.08.25
Submerged: Hidden Depths;1;Stadia Games and Entertainment;2020.12.03;2020.12.03
Sundered;9;Thunder Lotus Games;2020.05.26;2017.07.28
Super Animal Royale;3;Modus Games;2021.12.14;2021.08.26
Super Bomberman R Online;3;Konami;2020.09.01;2020.09.01
Superhot;18;Superhot Team;2020.06.01;2016.02.26
Superhot: Mind Control Delete;18;Superhot Team;2020.08.18;2020.07.16
Terraria;1;505 Games;2021.03.18;2011.05.16
The Addams Family: Mansion Mayhem;1;Outright Games;2021.10.01;2021.09.24
The Crew 2;15;Ubisoft;2020.03.25;2018.06.29
The Darkside Detective;1;Akupara Games;2021.04.08;2017.07.27
The Darkside Detective: A Fumble in the Dark;1;Akupara Games;2021.04.15;2021.04.15
The Elder Scrolls Online;10;Bethesda Softworks;2020.06.16;2014.04.04
The Falconeer;18;Wired Productions;2021.10.05;2020.11.10
The Falconeer: Warrior Edition;18;Wired Productions;2021.12.01;2021.08.05
The Gardens Between;14;The Voxel Agents;2020.11.01;2018.09.20
The Jackbox Party Pack 6;12;Jackbox Games;2021.12.21;2019.10.17
The Jackbox Party Pack 7;12;Jackbox Games;2021.12.07;2020.10.15
The Jackbox Party Pack 8;12;Jackbox Games;2021.11.16;2021.10.14
The Turing Test;14;Bulkhead Interactive;2020.05.01;2016.08.30
Thumper;16;Drool;2019.11.19;2016.10.10
TOHU;1;The Irregular Corporation;2021.01.28;2021.01.28
Tom Clancy's Ghost Recon Breakpoint;18;Ubisoft;2019.12.18;2019.10.04
Tom Clancy's Ghost Recon Wildlands;18;Ubisoft;2020.11.19;2017.03.07
Tom Clancy's Rainbow Six Extraction;18;Ubisoft;2022.01.20;2022.01.20
Tom Clancy's Rainbow Six Siege;18;Ubisoft;2021.06.30;2015.12.01
Tom Clancy's The Division 2;18;Ubisoft;2020.03.17;2019.03.15
Tomb Raider;1;Square Enix;2019.11.19;2013.03.05
Transformers: Battlegrounds;22;Outright Games;2021.12.01;2020.10.23
Trials Rising;15;Ubisoft;2019.11.19;2019.02.26
Trine 4: The Nightmare Prince;14;Modus Games;2021.03.30;2019.10.08
Trivial Pursuit Live! 2;12;Ubisoft;2022.03.17;2022.03.17
Trollhunters: Defenders of Arcadia;0;Outright Games;2022.01.25;2020.09.25
Uno;5;Ubisoft;2020.09.15;2016.08.16
Uno: 50th Anniversary;5;Ubisoft;2021.06.03;2021.06.03
Unto the End;13;Big Sugar;2020.12.09;2020.12.09
Valkyria Chronicles 4;18;Sega;2020.12.08;2018.03.21
Watch Dogs;1;Ubisoft;2020.12.09;2014.05.27
Watch Dogs 2;1;Ubisoft;2020.12.09;2016.11.15
Watch Dogs: Legion;1;Ubisoft;2020.10.29;2020.10.29
Wave Break;21;Funktronic Labs;2020.06.23;2020.06.23
Wavetale;1;Thunderful Publishing;2021.11.10;2021.11.10
Welcome to Elk;1;Triple Topping;2021.02.23;2020.09.17
West of Loathing;1;Asymmetric Productions;2020.07.01;2017.08.10
Windbound;23;Koch Media;2020.08.28;2020.08.28
Windjammers 2;21;Dotemu;2022.01.20;2022.01.20
Wolfenstein: Youngblood;18;Bethesda Softworks;2019.11.19;2019.07.26
World War Z: Aftermath;18;Saber Interactive Inc;2022.04.05;2021.09.21
Worms W.M.D;22;Team17;2022.07.01;2016.08.23
Wreckfest;15;THQ Nordic;2021.12.01;2018.06.14
WWE 2K Battlegrounds;21;2K Sports;2020.09.18;2020.09.18
Young Souls;17;The Arcade Crew;2021.08.17;2021.08.17
Ys IX: Monstrum Nox;0;NIS America;2021.07.06;2019.09.26
Ys VIII: Lacrimosa of Dana;0;NIS America;2021.04.01;2016.07.21
Zombie Army 4: Dead War;18;Rebellion Developments;2020.05.01;2020.02.04
Zorro: The Chronicles;1;BTC Studios;2022.06.16;2022.06.16
